Dataset,Number of Points,Total Execution Time (s),Iteration Execution Time (s),Average Time per Point (s),Peak Memory Usage (MiB)
armadillo_points.txt,5000,34.997044516,3.4997044516000004,0.0069994089032,1752.95703125
armadillo_points.txt,4000,24.424291878,2.4424291878,0.0061060729695,1229.27734375
armadillo_points.txt,3000,17.487728742,1.7487728742000002,0.005829242914,811.25390625
armadillo_points.txt,2000,11.337240268,1.1337240268,0.0056686201339999,493.6328125
armadillo_points.txt,1000,5.8026180620000005,0.5802618062,0.005802618062,333.35546875
