Dataset,Number of Points,Total Execution Time (s),Iteration Execution Time (s),Average Time per Point (s),Peak Memory Usage (MiB)
bunny_points.txt,5000,37.43962884,3.743962884,0.007487925768,1796.30078125
bunny_points.txt,4000,25.802071658,2.5802071658,0.0064505179144999,1214.71484375
bunny_points.txt,3000,16.030084071999998,1.6030084071999997,0.0053433613573333,794.171875
bunny_points.txt,2000,10.366655551,1.0366655551,0.0051833277755,511.89453125
bunny_points.txt,1000,5.697742782000001,0.5697742782,0.005697742782,332.41796875
